#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
    -4    2    1   HB  3.80300  3.77460  3.92720  4.06360   42004202
    -4    3    1   HB  3.53940  3.69860  3.79700  3.86040   42004203
    -4    4    1   HB  4.05820  4.34580  4.52940  4.31080   42004204
    -4    5    1   HB  3.86760  3.49040  4.10980  3.54520   42004205
    -4    6    1   HB  3.18920  2.77340  3.47960  3.33280   42004206
    -4    7    1   HB  4.43180  4.19040  4.66840  4.25760   42004207
    -4    8    1   HB  4.16700  4.32720  4.74340  4.49460   42004208
    -4    9    1   HB  5.07360  5.05880  5.25860  5.06631   42004209
    -4   10    1   HB  3.06760  3.25540  3.00700  3.09052   4200420A
    -4   11    1   HB  4.06980  4.44420  4.46400  3.96700   4200420B
    -4   12    1   HB  2.74780  3.23800  3.61880  3.37880   4200420C
    -4   13    1   HB  3.25920  3.48220  3.47800  3.67820   4200420D
    -4   14    1   HB  3.59640  3.82820  3.30920  3.54200   4200420E
    -4   15    1   HB  4.46140  4.09360  4.41200  4.27000   4200420F
    -4   16    1   HB  4.27000  3.87660  4.14160  4.08760   42004210
    -4   17    1   HB  2.39538  2.81380  2.93740  2.71464   42004211
    -4   18    1   HB  3.96420  4.11560  4.41360  3.66760   42004212
    -4   19    1   HB  3.39600  3.84260  3.89300  3.64520   42004213
    -4   20    1   HB  4.91700  4.53280  4.83680  4.65280   42004214
    -4   21    1   HB  3.67200  3.90400  4.33840  3.71840   42004215
    -4   22    1   HB  3.54220  3.24260  3.40140  3.81720   42004216
    -4   23    1   HB  3.49720  3.99120  3.79340  3.72340   42004217
    -4   24    1   HB  4.48680  4.12340  4.54920  4.00480   42004218
    -4   25    1   HB  4.11040  4.04440  4.14940  4.27440   42004219
    -4   26    1   HB  4.05060  4.09340  3.54200  4.82700   4200421A
    -4   27    1   HB  2.87380  3.51660  3.55340  3.39720   4200421B
    -4   28    1   HB  2.82980  2.89140  3.25380  2.78980   4200421C
    -4   29    1   HB  4.15560  4.07680  4.41900  3.81860   4200421D
    -4   30    1   HB  3.35920  2.73885  3.85340  2.23360   4200421E
    -4   31    1   HB  4.10540  4.37760  4.35580  4.64400   4200421F
    -4   32    1   HB  2.86280  3.13520  3.46960  2.65060   42004220
    -4   33    1   HB  2.83360  3.02880  2.79820  3.56000   42004221
    -4   34    1   HB  4.79926  4.79680  4.98760  4.90540   42004222
    -4   35    1   HB  3.61680  3.43400  3.60720  3.74720   42004223
    -4   36    1   HB  3.73240  3.62920  4.26420  3.97900   42004224
    -4   37    1   HB  4.05340  4.02400  4.13760  4.41560   42004225
    -4   38    1   HB  3.10220  3.25340  3.44400  3.09040   42004226
    -4   39    1   HB  4.25260  3.99180  4.88820  3.51760   42004227
    -4   40    1   HB  4.25840  4.59902  4.11280  4.53980   42004228
    -4   41    1   HB  3.95980  3.87700  4.33240  3.68300   42004229
    -4   42    1   HB  3.10540  3.29800  3.40240  3.51080   4200422A
    -4   43    1   HB  3.76380  4.00360  4.07720  3.73700   4200422B
    -4   44    1   HB  4.15640  4.03120  4.31580  4.06460   4200422C
    -4   45    1   HB  3.19400  3.50480  3.43700  3.47700   4200422D
    -4   46    1   HB  3.81960  4.27460  3.55040  3.53160   4200422E
    -4   47    1   HB  3.36360  3.24080  3.43680  3.13840   4200422F
    -4   48    1   HB  3.77580  3.53420  3.99800  4.01360   42004230
